state,pctpop_hs
Alaska,93.3
Maine,93
North Carolina,88.2
Missouri,90.5
Pennsylvania,91
Michigan,91.1
Nebraska,91.4
Oregon,90.5
Wyoming,93.3
California,83.8
Mississippi,85.4
Connecticut,90.9
Texas,84
Idaho,90.9
Maryland,90.5
New Mexico,85.4
Alabama,86.6
Tennessee,87.8
Vermont,93.5
Nevada,86.9
West Virginia,87.8
Oklahoma,88.4
Wisconsin,92.1
Puerto Rico,77.5
Kansas,91
Virginia,89.9
North Dakota,92.3
New Jersey,90.2
Ohio,90.7
South Carolina,88.4
Georgia,87.6
Colorado,91.9
Hawaii,92
South Dakota,92.3
Indiana,89
Kentucky,86.8
Louisiana,85.8
Washington,91.6
Illinois,89.5
Iowa,92.3
New Hampshire,93.1
Rhode Island,89.1
Arkansas,87.2
Delaware,89.8
Minnesota,93.4
Montana,93.9
Arizona,87.5
Florida,88.5
Massachusetts,90.8
District of Columbia,92.1
Utah,92.4
New York,87.1
