GeoFips,GeoName,LineCode,Description,2019
0,United States,1,All industry total,19073056
0,United States,2,  Private industries,16765570
0,United States,3,"    Agriculture, forestry, fishing and hunting",239956
0,United States,4,      Farms,(NA)
0,United States,5,"      Forestry, fishing, and related activities",(NA)
0,United States,6,"    Mining, quarrying, and oil and gas extraction",536216
0,United States,7,      Oil and gas extraction,(NA)
0,United States,8,      Mining (except oil and gas),(NA)
0,United States,9,      Support activities for mining,(NA)
0,United States,10,    Utilities,289397
0,United States,11,    Construction,653837
0,United States,12,    Manufacturing,2176996
0,United States,13,      Durable goods manufacturing,1239346
0,United States,14,        Wood product manufacturing,(NA)
0,United States,15,        Nonmetallic mineral product manufacturing,(NA)
0,United States,16,        Primary metal manufacturing,(NA)
0,United States,17,        Fabricated metal product manufacturing,(NA)
0,United States,18,        Machinery manufacturing,(NA)
0,United States,19,        Computer and electronic product manufacturing,(NA)
0,United States,20,"        Electrical equipment, appliance, and component manufacturing",(NA)
0,United States,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",(NA)
0,United States,22,        Other transportation equipment manufacturing,(NA)
0,United States,23,        Furniture and related product manufacturing,(NA)
0,United States,24,        Miscellaneous manufacturing,(NA)
0,United States,25,      Nondurable goods manufacturing,937031
0,United States,26,        Food and beverage and tobacco product manufacturing,(NA)
0,United States,27,        Textile mills and textile product mills,(NA)
0,United States,28,"        Apparel, leather, and allied product manufacturing",(NA)
0,United States,29,        Paper manufacturing,(NA)
0,United States,30,        Printing and related support activities,(NA)
0,United States,31,        Petroleum and coal products manufacturing,(NA)
0,United States,32,        Chemical manufacturing,(NA)
0,United States,33,        Plastics and rubber products manufacturing,(NA)
0,United States,34,    Wholesale trade,1136843
0,United States,35,    Retail trade,1131485
0,United States,36,    Transportation and warehousing,561303
0,United States,37,      Air transportation,(NA)
0,United States,38,      Rail transportation,(NA)
0,United States,39,      Water transportation,(NA)
0,United States,40,      Truck transportation,(NA)
0,United States,41,      Transit and ground passenger transportation,(NA)
0,United States,42,      Pipeline transportation,(NA)
0,United States,43,      Other transportation and support activities,(NA)
0,United States,44,      Warehousing and storage,(NA)
0,United States,45,    Information,1210050
0,United States,46,      Publishing industries (except Internet),(NA)
0,United States,47,      Motion picture and sound recording industries,(NA)
0,United States,48,      Broadcasting (except Internet) and telecommunications,(NA)
0,United States,49,"      Data processing, hosting, and other information services",(NA)
0,United States,50,"    Finance, insurance, real estate, rental, and leasing",3610376
0,United States,51,      Finance and insurance,1204015
0,United States,52,"        Monetary Authorities- central bank, credit intermediation, and related services",(NA)
0,United States,53,"        Securities, commodity contracts, and other financial investments and related activities",(NA)
0,United States,54,        Insurance carriers and related activities,(NA)
0,United States,55,"        Funds, trusts, and other financial vehicles",(NA)
0,United States,56,      Real estate and rental and leasing,2411666
0,United States,57,        Real estate,(NA)
0,United States,58,        Rental and leasing services and lessors of nonfinancial intangible assets,(NA)
0,United States,59,    Professional and business services,2532228
0,United States,60,"      Professional, scientific, and technical services",1521642
0,United States,61,        Legal services,(NA)
0,United States,62,        Computer systems design and related services,(NA)
0,United States,63,"        Miscellaneous professional, scientific, and technical services",(NA)
